Date,Hour,ExternalId,Domain,PlacementId,Placements,Impressions,FillRate,BuyCpm,SellCpm,ApbCpm,Margin,MarginPercent
"2016-08-01 04:00:00",4,BC-US-8|13807760,myfox8.com,5410238,2,0,0.000,4.502,2.754,0.001,-0.009,0.000
"2016-07-31 23:00:00",23,BC-US-8|13807760,hotnewhiphop.com,506724,0,1,0.000,0.000,2.871,0.001,0.000,0.000
"2016-07-31 23:00:00",23,BC-US-8|13807760,drudgereport.com,6340489,1,0,0.000,1.320,3.366,0.001,-0.001,0.000
"2016-07-31 16:00:00",16,BC-US-8|13807760,bloodyelbow.com,3640217,0,1,0.000,0.000,4.842,0.001,0.000,0.000
"2016-07-31 02:00:00",2,BC-US-14|13859978,zillow.com,6397031,3,0,0.000,1.200,1.863,2.012,-0.004,0.000
"2016-07-30 05:00:00",5,BC-US-8|13807760,myfox8.com,5410238,2,0,0.000,4.502,2.763,0.001,-0.009,0.000
"2016-07-30 02:00:00",2,BC-US-8|13807760,thefiscaltimes.com,7188955,0,1,0.000,0.000,5.472,1.718,0.000,0.000
"2016-07-30 01:00:00",1,BC-US-8|13807760,buffalonews.com,7188955,0,3,0.000,0.000,5.742,0.801,0.000,0.000
"2016-07-30 01:00:00",1,BC-US-14|13859978,coolmath-games.com,5565466,0,1,0.000,0.000,1.863,0.001,0.000,0.000
"2016-07-29 20:00:00",20,BC-US-14|13859978,funnyordie.com,6293707,1,0,0.000,1.200,2.025,0.001,-0.001,0.000
"2016-07-29 17:00:00",17,BC-US-14|13859978,zillow.com,6518271,0,1,0.000,0.000,2.448,0.001,0.000,0.000
"2016-07-29 17:00:00",17,BC-US-14|13859978,drudgereport.com,6334300,1,1,1.000,1.200,3.879,0.001,0.002,0.626
"2016-07-29 16:00:00",16,BC-US-8|13807760,thefiscaltimes.com,7188955,0,1,0.000,0.000,5.472,0.001,0.000,0.000
"2016-07-29 16:00:00",16,BC-US-8|13807760,slate.com,5132726,0,1,0.000,0.000,3.483,4.507,0.000,0.000
"2016-07-29 16:00:00",16,BC-US-14|13859978,drudgereport.com,6344588,1,0,0.000,0.917,3.717,0.001,-0.001,0.000
"2016-07-29 15:00:00",15,BC-US-14|13859978,drudgereport.com,6344588,2,1,0.500,1.061,3.717,0.886,0.001,0.362
"2016-07-29 14:00:00",14,BC-US-8|13807760,diablofans.com,5524105,1,0,0.000,1.320,2.925,0.001,-0.001,0.000
"2016-07-29 13:00:00",13,BC-US-8|13807760,buffalonews.com,7188955,0,2,0.000,0.000,5.463,1.165,0.000,0.000
"2016-07-29 13:00:00",13,BC-US-14|13859978,zillow.com,6397031,1,1,1.000,1.200,2.025,1.792,0.001,0.284
"2016-07-29 13:00:00",13,BC-US-14|13859978,nationalreview.com,7185793,0,1,0.000,0.000,3.717,0.990,0.000,0.000
"2016-07-29 13:00:00",13,BC-US-14|13859978,drudgereport.com,6344588,1,0,0.000,0.917,3.717,0.883,-0.001,0.000
"2016-07-29 12:00:00",12,BC-US-8|13807760,hometalk.com,8550965,1,0,0.000,0.001,5.472,0.001,0.000,0.000
"2016-07-29 12:00:00",12,BC-US-8|13807760,buffalonews.com,7188955,6,1,0.167,1.440,5.319,1.278,-0.004,-0.672
"2016-07-29 12:00:00",12,BC-US-14|13859978,funnyordie.com,6293707,1,0,0.000,1.200,2.025,0.001,-0.001,0.000
"2016-07-29 11:00:00",11,BC-US-14|13859978,dailycaller.com,799023,1,1,1.000,1.206,10.386,0.001,0.009,0.860
"2016-07-29 11:00:00",11,BC-US-14|13859978,buffalonews.com,7188955,0,1,0.000,0.000,5.319,1.441,0.000,0.000
"2016-07-29 10:00:00",10,BC-US-8|13807760,buffalonews.com,7188955,8,0,0.000,1.768,5.319,1.684,-0.014,0.000
"2016-07-29 09:00:00",9,BC-US-8|13807760,buffalonews.com,7188955,2,0,0.000,2.792,5.319,2.065,-0.006,0.000
"2016-07-29 05:00:00",5,BC-US-12|13538569,viralhotzone.com,7495503,0,5,0.000,0.000,3.888,0.756,0.000,0.000
"2016-07-29 05:00:00",5,BC-US-12|13538569,viralhotzone.com,6480702,0,2,0.000,0.000,3.888,0.789,0.000,0.000
"2016-07-29 03:00:00",3,BC-US-14|13859978,drudgereport.com,6344588,1,1,1.000,1.012,4.122,0.713,0.003,0.694
"2016-07-29 03:00:00",3,BC-US-14|13859978,breitbart.com,7188955,0,1,0.000,0.000,7.695,0.001,0.000,0.000
"2016-07-29 03:00:00",3,BC-US-14|13859978,breitbart.com,6110818,1,1,1.000,1.200,7.695,0.001,0.006,0.812
"2016-07-29 02:00:00",2,BC-US-8|13807760,sport.blic.rs,5994651,1,0,0.000,1.303,4.059,0.001,-0.001,0.000
"2016-07-29 02:00:00",2,BC-US-8|13807760,m.mlb.com,1635238,0,6,0.000,0.000,6.012,1.051,0.000,0.000
"2016-07-29 02:00:00",2,BC-US-8|13807760,livestrong.com,3638071,1,0,0.000,1.199,2.304,0.001,-0.001,0.000
"2016-07-29 02:00:00",2,BC-US-8|13807760,electronics.woot.com,4796051,1,0,0.000,1.320,7.101,0.001,-0.001,0.000
"2016-07-29 02:00:00",2,BC-US-14|13859978,nationalreview.com,7185793,0,1,0.000,0.000,3.600,0.001,0.000,0.000
"2016-07-29 02:00:00",2,BC-US-14|13859978,drudgereport.com,6344588,1,0,0.000,0.917,3.771,0.750,-0.001,0.000
"2016-07-29 01:00:00",1,BC-US-8|13807760,theblaze.com,7188955,5,0,0.000,0.303,4.752,0.001,-0.002,0.000
